17/08/07 22:24
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	10632	102567	    620319	    708427	  111	
未翻訳：        	10627	102562	    620190	    708298	  111	
繰り返しを除いた：   	 8684	 98167	    588978	    673932	  111	
繰り返しを除いた未翻訳：	 8681	 98164	    588903	    673857	  111	


ファイルごとの翻訳状況：

ファイル名                                                  	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
user_guide_src/source/helpers/html_helper.rst          	    414	   414	        271	           271	   2079	  2079	       1725	          1725	         13725	        13725	             11074	                11074	         15979	        15979	             12976	                12976	
user_guide_src/source/helpers/index.rst                	      4	     4	          3	             3	     11	    11	         11	            11	           111	          111	               109	                  109	           117	          117	               115	                  115	
user_guide_src/source/helpers/inflector_helper.rst     	     70	    70	         42	            42	    372	   372	        336	           336	          2533	         2533	              2214	                 2214	          2768	         2768	              2432	                 2432	
user_guide_src/source/helpers/number_helper.rst        	     66	    66	         45	            45	    426	   426	        372	           372	          2886	         2886	              2487	                 2487	          3229	         3229	              2798	                 2798	
user_guide_src/source/helpers/security_helper.rst      	     34	    34	         20	            20	    146	   146	        115	           115	          1065	         1065	               817	                  817	          1156	         1156	               892	                  892	
user_guide_src/source/helpers/text_helper.rst          	    204	   204	        149	           149	   1884	  1884	       1821	          1821	         11713	        11713	             11182	                11182	         13172	        13172	             12610	                12610	
user_guide_src/source/helpers/url_helper.rst           	    177	   177	        130	           130	   1690	  1690	       1591	          1591	         10219	        10219	              9521	                 9521	         11534	        11534	             10762	                10762	
user_guide_src/source/index.rst                        	     43	    43	         23	            23	     71	    71	         54	            54	           945	          945	               754	                  754	           956	          956	               764	                  764	
user_guide_src/source/installation/downloads.rst       	      7	     7	          7	             7	     74	    74	         74	            74	           573	          573	               573	                  573	           625	          625	               625	                  625	
user_guide_src/source/installation/index.rst           	     42	    42	         33	            33	    321	   321	        316	           316	          1909	         1909	              1866	                 1866	          2166	         2166	              2122	                 2122	
user_guide_src/source/installation/local_server.rst    	     18	    18	         17	            17	    242	   242	        242	           242	          1256	         1256	              1254	                 1254	          1472	         1472	              1470	                 1470	
user_guide_src/source/installation/troubleshooting.rst 	     13	    13	         13	            13	    157	   157	        157	           157	           926	          926	               926	                  926	          1054	         1054	              1054	                 1054	
user_guide_src/source/installation/upgrade_4xx.rst     	     35	    35	         33	            33	    597	   597	        597	           597	          3661	         3661	              3657	                 3657	          4163	         4163	              4159	                 4159	
user_guide_src/source/installation/upgrading.rst       	      5	     5	          3	             3	     29	    29	         27	            27	           227	          227	               202	                  202	           247	          247	               222	                  222	
user_guide_src/source/intro/credits.rst                	      6	     6	          6	             6	     97	    97	         97	            97	           665	          665	               665	                  665	           747	          747	               747	                  747	
user_guide_src/source/intro/index.rst                  	     15	    15	         14	            14	    237	   237	        237	           237	          1016	         1016	              1014	                 1014	          1080	         1080	              1078	                 1078	
user_guide_src/source/intro/psr.rst                    	     23	    23	         23	            23	    298	   298	        298	           298	          1672	         1672	              1672	                 1672	          1916	         1916	              1916	                 1916	
user_guide_src/source/intro/requirements.rst           	     17	    17	         17	            17	    150	   150	        150	           150	           872	          872	               872	                  872	          1011	         1011	              1011	                 1011	
user_guide_src/source/libraries/api_responses.rst      	    213	   213	        139	           139	   1640	  1640	       1257	          1257	          9733	         9733	              7558	                 7558	         11206	        11206	              8685	                 8685	
user_guide_src/source/libraries/benchmark.rst          	     61	    61	         59	            59	    733	   733	        729	           729	          4093	         4093	              4060	                 4060	          4727	         4727	              4692	                 4692	
user_guide_src/source/libraries/caching.rst            	    119	   119	         92	            92	    933	   933	        905	           905	          5574	         5574	              5288	                 5288	          6270	         6270	              5968	                 5968	
user_guide_src/source/libraries/cli.rst                	     96	    96	         86	            86	   1127	  1127	       1122	          1122	          5959	         5959	              5908	                 5908	          6963	         6963	              6909	                 6909	
user_guide_src/source/libraries/content_negotiation.rst	     56	    56	         56	            56	    722	   722	        722	           722	          4031	         4031	              4031	                 4031	          4636	         4636	              4636	                 4636	
user_guide_src/source/libraries/curlrequest.rst        	    173	   173	        166	           166	   2007	  2007	       2006	          2006	         12258	        12258	             12237	                12237	         14053	        14053	             14032	                14032	
user_guide_src/source/libraries/encryption.rst         	    166	   166	        134	           134	   1932	  1932	       1891	          1891	         12501	        12501	             12107	                12107	         14856	        14856	             14438	                14438	
user_guide_src/source/libraries/files.rst              	     59	    59	         51	            51	    428	   428	        424	           424	          2620	         2620	              2583	                 2583	          2973	         2973	              2934	                 2934	
user_guide_src/source/libraries/images.rst             	    155	   155	        124	           124	   1488	  1488	       1402	          1402	          8507	         8507	              7843	                 7843	          9772	         9772	              9102	                 9102	
user_guide_src/source/libraries/incomingrequest.rst    	    214	   214	        161	           161	   2232	  2232	       1987	          1987	         13840	        13840	             12454	                12454	         15709	        15709	             14115	                14115	
user_guide_src/source/libraries/index.rst              	     26	    26	         21	            21	     26	    26	         22	            22	           279	          279	               246	                  246	           280	          280	               247	                  247	
user_guide_src/source/libraries/localization.rst       	    174	   174	        147	           147	   1406	  1406	       1392	          1392	          8380	         8380	              8257	                 8257	          9599	         9599	              9468	                 9468	
user_guide_src/source/libraries/message.rst            	    153	   153	        124	           124	   1404	  1404	       1327	          1327	          8372	         8372	              7838	                 7838	          9514	         9514	              8923	                 8923	
user_guide_src/source/libraries/pagination.rst         	    153	   153	        117	           117	   1302	  1302	       1260	          1260	          7624	         7624	              7291	                 7291	          8730	         8730	              8372	                 8372	
user_guide_src/source/libraries/request.rst            	     46	    46	         28	            28	    422	   422	        357	           357	          2666	         2666	              2230	                 2230	          2991	         2991	              2507	                 2507	
user_guide_src/source/libraries/response.rst           	    188	   188	        157	           157	   2219	  2219	       2174	          2174	         14092	        14092	             13679	                13679	         15827	        15827	             15393	                15393	
user_guide_src/source/libraries/security.rst           	     34	    34	         30	            30	    390	   390	        383	           383	          2588	         2588	              2496	                 2496	          2924	         2924	              2828	                 2828	
user_guide_src/source/libraries/sessions.rst           	    305	   305	        270	           270	   3579	  3579	       3552	          3552	         21689	        21689	             21407	                21407	         25075	        25075	             24779	                24779	
user_guide_src/source/libraries/throttler.rst          	     77	    77	         66	            66	    835	   835	        827	           827	          4309	         4309	              4208	                 4208	          5034	         5034	              4928	                 4928	
user_guide_src/source/libraries/typography.rst         	     32	    32	         21	            21	    229	   229	        191	           191	          1713	         1713	              1447	                 1447	          1874	         1874	              1580	                 1580	
user_guide_src/source/libraries/uploaded_files.rst     	    110	   110	         89	            89	    936	   936	        810	           810	          5699	         5699	              4960	                 4960	          6472	         6472	              5640	                 5640	
user_guide_src/source/libraries/uri.rst                	    126	   126	        112	           112	   1223	  1223	       1179	          1179	          7200	         7200	              6870	                 6870	          8173	         8173	              7829	                 7829	
user_guide_src/source/libraries/validation.rst         	    402	   401	        325	           325	   3143	  3142	       3087	          3087	         19575	        19548	             18957	                18957	         23307	        23280	             22639	                22639	
user_guide_src/source/license.rst                      	      6	     6	          6	             6	    176	   176	        176	           176	           990	          990	               990	                  990	          1146	         1146	              1146	                 1146	
user_guide_src/source/tutorial/conclusion.rst          	     10	    10	         10	            10	    159	   159	        159	           159	           937	          937	               937	                  937	          1070	         1070	              1070	                 1070	
user_guide_src/source/tutorial/create_news_items.rst   	     96	    96	         76	            76	    802	   802	        796	           796	          4379	         4379	              4320	                 4320	          4955	         4955	              4895	                 4895	
user_guide_src/source/tutorial/index.rst               	     21	    21	         19	            19	    206	   206	        203	           203	          1029	         1029	               994	                  994	          1123	         1123	              1088	                 1088	
user_guide_src/source/tutorial/news_section.rst        	    101	   101	         88	            88	   1163	  1163	       1155	          1155	          6500	         6500	              6431	                 6431	          7446	         7446	              7370	                 7370	
user_guide_src/source/tutorial/static_pages.rst        	     82	    82	         76	            76	    950	   950	        949	           949	          5301	         5301	              5276	                 5276	          6058	         6058	              6033	                 6033	
